swsLengthHR,swsTimeHR,swsLengthT,swsTimeT,decreasePercentageT,swsTimeM,swsLengthM,decreasePercentageM,amountAsleep,amountAwake,sleepEfficiency,timesAwoken,epochCapacity,epochPeak,epochPeakCounter,stormPeak,largestStorm,timesEdaStorm,meanEdaStorm,lengthEdaStorm
0.18416,0.125,0.51483,0.17241,0.7477,0.18421,0.40978,0.77318,0.25377,0.15766,0.87456,0.12903,-0.21559,0.19061,-0.10638,0.16322,0.04184,0.44231,0.0055,-0.21351
0.32127,0.16667,0.05463,0.03448,0.67481,0.07895,-0.58934,0.69403,0.20452,0.13063,0.86445,0.19355,-0.45059,0.18076,-0.53841,0.12895,0.03104,0.25962,0.00638,-0.52758
0.24143,0.125,0.0,0.0,0.7096,0.18421,0.13056,0.72889,0.2603,0.06306,0.94711,0.06452,-0.59832,0.19577,-0.54688,-0.14439,0.0108,0.33654,0.00347,-0.56527
0.21397,0.125,0.13443,0.03448,0.66302,0.10526,-0.24984,0.68084,0.22513,0.14414,0.86622,0.09677,-0.43695,0.24985,-0.3944,-0.01412,0.05263,0.29808,0.00579,-0.48152
0.26788,0.125,0.07161,0.03448,0.71707,0.02632,-0.8969,0.79251,0.21658,0.16216,0.84675,0.16129,-0.42434,0.17387,-0.41981,-0.30115,0.01754,0.36538,0.00342,-0.5234
0.41295,0.29167,0.24319,0.13793,0.72366,0.15789,0.97606,0.76789,0.24573,0.04505,0.95864,0.12903,-0.37377,0.24677,-0.29274,0.03782,0.02429,0.41346,0.00445,-0.36008
0.43707,0.25,0.0,0.0,0.72988,0.0,-1.00196,0.72943,0.22312,0.06757,0.93011,0.16129,0.29463,0.19906,0.37648,0.51986,0.04588,0.57692,0.00738,0.27644
0.41112,0.125,0.41061,0.2069,0.73175,0.02632,-0.79597,0.79307,0.19648,0.05856,0.92582,0.06452,0.22299,0.25375,0.13929,0.58432,0.09582,0.38462,0.01071,0.088
0.11908,0.08333,0.0,0.0,0.7854,0.0,-1.00196,0.73838,0.2005,0.08108,0.90595,0.16129,0.96814,0.24751,0.7831,0.59979,0.08502,0.65385,0.00936,0.72452
0.27669,0.20833,0.0,0.0,0.81927,0.10526,0.07276,0.73834,0.19296,0.11712,0.86851,0.09677,0.46796,0.17649,0.44425,0.39876,0.08097,0.66346,0.00621,0.32251
0.0,0.0,0.0,0.0,0.68268,0.15789,0.9549,0.76414,0.23015,0.16667,0.85092,0.22581,-0.70391,0.10918,-0.55959,-0.54672,0.0135,0.31731,0.00209,-0.68671
0.0,0.0,0.0,0.0,0.82326,0.0,-1.00196,0.78252,0.17739,0.04054,0.93607,0.06452,-0.0898,0.1151,-0.07673,0.18865,0.02834,0.47115,0.00508,-0.19676
0.3135,0.125,0.05822,0.03448,0.73657,0.07895,-0.68222,0.81774,0.24322,0.17117,0.85781,0.22581,0.56139,0.22636,0.93559,0.51806,0.09852,0.63462,0.00983,0.73289
0.06679,0.04167,0.05544,0.03448,0.71332,0.15789,2.18398,0.56655,0.21457,0.00901,0.98072,0.03226,-0.90644,0.0875,-0.91961,-1.53247,0.00405,0.17308,0.00057,-0.9296
0.32923,0.16667,0.06909,0.03448,0.71029,0.10526,-0.07403,0.57417,0.20503,0.07207,0.91583,0.06452,-0.8534,0.17128,-0.92385,-1.5011,0.0054,0.14423,0.00094,-0.94635
0.29164,0.08333,0.0,0.0,0.76224,0.0,-1.00196,0.5615,0.18593,0.00901,0.97268,0.03226,-0.93767,0.03696,-0.90691,-1.65747,0.0081,0.11538,0.00132,-0.96729
0.12448,0.08333,0.06961,0.03448,0.71793,0.0,-1.00196,0.42412,0.21156,0.0,0.98924,0.0,-0.87768,0.20145,-0.9535,-1.17908,0.0081,0.14423,0.00175,-0.92122
0.08012,0.04167,0.0,0.0,0.64392,0.0,-1.00196,0.63094,0.15528,0.01351,0.95571,0.03226,-0.77319,0.16242,-0.88997,-1.44189,0.0081,0.15385,0.00139,-0.92122
0.0,0.0,0.0,0.0,0.69195,0.07895,-0.43608,0.59287,0.16583,0.0,0.98129,0.0,-0.91163,0.15965,-1.04668,-0.97564,0.0108,0.08654,0.00215,-0.98404
0.1123,0.08333,0.18804,0.10345,0.69918,0.07895,-0.33679,0.5659,0.21256,0.09459,0.90269,0.09677,-0.73303,0.1778,-0.66548,-0.59484,0.01619,0.23077,0.00258,-0.77466
0.34879,0.125,0.0,0.0,0.73804,0.0,-1.00196,0.56964,0.18492,0.04054,0.942,0.09677,-0.86751,0.16453,-0.94926,-0.89282,0.00405,0.14423,0.00094,-0.94635
0.08912,0.04167,0.0,0.0,0.80394,0.0,-1.00196,0.61669,0.16734,0.02252,0.95423,0.09677,-0.94544,0.16587,-1.1441,-1.53348,0.0054,0.04808,0.00144,-1.04266
0.4505,0.16667,0.0729,0.03448,0.74376,0.0,-1.00196,0.54229,0.18442,0.04955,0.92755,0.19355,-0.7918,0.30403,-0.96197,-1.01099,0.01215,0.07692,0.00454,-0.95472
0.33737,0.16667,0.12945,0.06897,0.64663,0.05263,-0.79333,0.62288,0.22462,0.03153,0.96222,0.12903,-0.83626,0.29668,-0.91114,-0.38715,0.00945,0.13462,0.00287,-0.90028
0.44263,0.16667,0.17143,0.06897,0.61279,0.02632,-0.87155,0.62579,0.18543,0.01351,0.96979,0.03226,-0.90268,0.24581,-1.02974,-0.66638,0.00675,0.09615,0.00235,-0.96729
0.26016,0.08333,0.0,0.0,0.72139,0.0,-1.00196,0.52196,0.21407,0.07658,0.91747,0.12903,-0.99084,0.02653,-0.90267,-0.82765,0.00405,0.18269,0.00086,-0.90866
0.15763,0.08333,0.0,0.0,0.70024,0.0,-1.00196,0.47155,0.15879,0.06757,0.89104,0.03226,-0.98104,0.11335,-0.98315,-1.37829,0.0135,0.05769,0.004,-0.9966
0.09273,0.08333,0.31233,0.13793,0.70999,0.13158,1.38484,0.58111,0.25628,0.07658,0.93413,0.16129,2.88225,0.52504,3.02374,0.94107,0.32794,0.11538,0.16411,3.14916
0.23542,0.16667,0.62579,0.24138,0.78607,0.28947,1.57157,0.64825,0.25176,0.12162,0.89931,0.16129,2.29887,0.74023,2.36722,0.93407,0.65047,0.22115,0.07203,2.45401
0.09088,0.08333,0.05273,0.03448,0.85224,0.15789,0.75755,0.61225,0.2407,0.09009,0.91773,0.12903,3.21025,0.70304,2.88821,0.95748,0.79352,0.01923,0.70685,3.04028
0.04047,0.04167,0.24021,0.13793,0.8003,0.26316,0.56687,0.71238,0.24372,0.12162,0.89523,0.16129,3.20659,0.69893,2.93056,0.95269,0.4413,0.03846,0.42583,3.07378
0.13142,0.04167,0.37013,0.17241,0.79407,0.0,-1.00196,0.7304,0.2206,0.1036,0.8972,0.19355,1.43229,0.5473,1.33797,0.86081,0.20108,0.29808,0.03438,1.29822
0.27123,0.125,0.48884,0.17241,0.73867,0.18421,0.99413,0.63981,0.24925,0.06757,0.93967,0.12903,1.69424,0.54895,1.81236,0.90295,0.33873,0.26923,0.04818,1.85099
0.07737,0.04167,0.0,0.0,0.0,0.15789,0.90962,0.74585,0.20754,0.11712,0.8779,0.19355,-0.651,0.10651,-0.49182,-0.04634,0.02699,0.34615,0.00308,-0.57784
0.1007,0.08333,0.06576,0.03448,0.76057,0.13158,1.01471,0.49589,0.25025,0.05405,0.95127,0.03226,0.4717,0.30283,0.86358,0.738,0.19163,0.38462,0.01911,0.75802
0.06369,0.04167,0.39228,0.13793,0.73069,0.18421,0.45976,0.67106,0.21457,0.24324,0.7773,0.29032,-0.8815,0.0358,-0.83067,-1.6977,0.01619,0.125,0.00415,-0.87935
0.36625,0.20833,0.5483,0.10345,0.69648,0.15789,-0.01975,0.57773,0.22915,0.06306,0.93525,0.12903,0.44969,0.37587,0.57556,0.74974,0.20108,0.26923,0.02376,0.47326
0.11921,0.08333,0.14587,0.03448,0.82463,0.21053,2.18003,0.64442,0.20804,0.04505,0.9468,0.09677,1.46438,0.39039,1.16007,0.88251,0.24157,0.23077,0.04306,1.19353
0.0,0.0,0.0,0.0,0.88424,0.15789,-0.1699,0.93473,0.25528,0.34685,0.74592,0.3871,0.17517,0.4777,0.30871,0.79484,0.17274,0.32692,0.01679,0.32669
0.45187,0.29167,0.34089,0.13793,0.74386,0.31579,1.5713,0.7526,0.2794,0.22523,0.84184,0.19355,-0.33819,0.29843,-0.05978,0.48254,0.02564,0.49038,0.00571,-0.09626
0.56138,0.41667,0.6797,0.27586,0.77675,0.31579,1.26175,0.59404,0.31809,0.16216,0.90101,0.12903,0.39077,0.572,0.92288,0.79799,0.20783,0.46154,0.01661,0.88365
0.0,0.0,0.14206,0.10345,0.80762,0.21053,0.17509,0.81933,0.26181,0.22072,0.83321,0.32258,1.79624,0.54572,1.97331,0.89699,0.2834,0.31731,0.04268,1.99756
0.0,0.0,0.1701,0.10345,0.7426,0.44737,1.43425,0.44465,0.49497,0.17568,0.93831,0.16129,-0.57185,0.30938,0.10964,0.7682,0.09177,0.34615,0.01309,0.14244
0.0,0.0,0.0,0.0,0.73873,0.13158,0.17632,0.88855,0.10302,0.10811,0.76402,0.06452,1.65143,0.623,0.05881,0.89584,0.1309,0.24038,0.02169,0.20525
